"accountCode","createdOn","description","id","isEnabled","modifiedOn","type","taxId"
"11100","2015-11-13T10:22:44","Deposited funds","1","1","2015-11-13T10:22:44","1","NULL"
"11500","2015-11-13T10:22:44","Trade debtors","2","1","2015-11-13T10:22:44","1","NULL"
"11600","2015-11-13T10:22:44","GST payable to suppliers","3","1","2015-11-13T10:22:44","1","NULL"
"21010","2015-11-13T10:22:44","Prepaid fees liability account","4","1","2015-11-13T10:22:44","2","NULL"
"21400","2015-11-13T10:22:44","Voucher liability","5","1","2015-11-13T10:22:44","2","NULL"
"21600","2015-11-13T10:22:44","GST receivable from customers","6","1","2015-11-13T10:22:44","2","NULL"
"41000","2015-11-13T10:22:44","Student enrolments","7","1","2015-11-13T10:22:44","4","1"
"42000","2015-11-13T10:22:44","Merchandise","8","1","2015-11-13T10:22:44","4","1"
"45387","2015-11-13T10:22:44","Vouchers expired","9","1","2015-11-13T10:22:44","4","1"
"54020","2015-11-13T10:22:44","Discounts given","10","1","2015-11-13T10:22:44","5","NULL"
"65387","2015-11-13T10:22:44","Voucher underpayment","11","1","2015-11-13T10:22:44","6","NULL"
"6345 - uf","2015-11-13T10:22:44","Undeposited funds","12","1","2015-11-13T10:22:44","1","NULL"
